Год,Название,Тикер,Дефолт,Надежность,Примечание
2020,Открытие Холдинг-БО-01,RU000A0JVPJ0,+,-,
2020,Магнит,MGNT,н/п,н/п,
2020,Х5,X5,н/п,н/п,
2020,ВТБ,VTBR,н/п,н/п,
2020,Сбер,SBER,н/п,н/п,
2020,Норникель,GMKN,н/п,н/п,
2020,ЛСР,LSRG,н/п,н/п,
2020,Роснефть,ROSN,н/п,н/п,
2020,ПИК,PIKK,н/п,н/п,
2020,Газпром,GAZP,н/п,н/п,
2020,Детский Мир,DSKY,н/п,н/п,
2020,АФК Система,AFKS,н/п,н/п,
2020,Яндекс,YDEX,н/п,н/п,
2020,Мосбиржа,MOEX,н/п,н/п,
2020,Транснефть,TRNFP,н/п,н/п,
2020,Полюс,PLZL,н/п,н/п,
2020,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2020,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2020,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2020,USD/RUB,USD_RUB,н/п,н/п,
2020,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2020,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2021,ОФЗ-26219,SU26219RMFS4,-,+,
2021,Газпромбанк-БО-10,RU000A0JUV08,-,+,
2021,Газпром нефть-003P-02R,RU000A1017J5,-,+,
2021,ОР Групп-001P-01,RU000A100V61,+,-,
2021,Гарант-Инвест-001P-07,RU000A101V37,-,-,
2021,Магнит,MGNT,н/п,н/п,
2021,Х5,X5,н/п,н/п,
2021,ВТБ,VTBR,н/п,н/п,
2021,Сбер,SBER,н/п,н/п,
2021,Норникель,GMKN,н/п,н/п,
2021,ЛСР,LSRG,н/п,н/п,
2021,Роснефть,ROSN,н/п,н/п,
2021,ПИК,PIKK,н/п,н/п,
2021,Газпром,GAZP,н/п,н/п,
2021,Детский Мир,DSKY,н/п,н/п,
2021,АФК Система,AFKS,н/п,н/п,
2021,Яндекс,YDEX,н/п,н/п,
2021,Мосбиржа,MOEX,н/п,н/п,
2021,Транснефть,TRNFP,н/п,н/п,
2021,Полюс,PLZL,н/п,н/п,
2021,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2021,Озон,OZON,н/п,н/п,
2021,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2021,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2021,USD/RUB,USD_RUB,н/п,н/п,
2021,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2021,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2022,ОФЗ-26232,SU26232RMFS7,-,+,
2022,Газпром капитал-БО-05,RU000A0JXFS8,-,+,
2022,Сбербанк 001P-SBER29,RU000A103G42,-,+,
2022,Главторг БО-01,RU000A1049P5,+,-,
2022,Гарант-Инвест-002P-04,RU000A103WX4,-,-,
2022,Магнит,MGNT,н/п,н/п,
2022,Х5,X5,н/п,н/п,
2022,ВТБ,VTBR,н/п,н/п,
2022,Сбер,SBER,н/п,н/п,
2022,Норникель,GMKN,н/п,н/п,
2022,ЛСР,LSRG,н/п,н/п,
2022,Роснефть,ROSN,н/п,н/п,
2022,ПИК,PIKK,н/п,н/п,
2022,Газпром,GAZP,н/п,н/п,
2022,Детский Мир,DSKY,н/п,н/п,
2022,АФК Система,AFKS,н/п,н/п,
2022,Яндекс,YDEX,н/п,н/п,
2022,Мосбиржа,MOEX,н/п,н/п,
2022,Транснефть,TRNFP,н/п,н/п,
2022,Полюс,PLZL,н/п,н/п,
2022,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2022,Озон,OZON,н/п,н/п,
2022,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2022,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2022,USD/RUB,USD_RUB,н/п,н/п,
2022,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2022,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2023,ОФЗ-26236,SU26236RMFS8,-,+,
2023,МТС-БО-02,RU000A0JWRV9,-,+,
2023,РусГидро-БО-П06,RU000A1057P8,-,+,
2023,НИКА-001Р-03,RU000A107SH6,+,-,
2023,РКК БО-02,RU000A105ZW4,-,-,
2023,Магнит,MGNT,н/п,н/п,
2023,Х5,X5,н/п,н/п,
2023,ВТБ,VTBR,н/п,н/п,Обратный сплит 5000 к 1
2023,Сбер,SBER,н/п,н/п,
2023,Норникель,GMKN,н/п,н/п,Сплит 1 к 100
2023,ЛСР,LSRG,н/п,н/п,
2023,Роснефть,ROSN,н/п,н/п,
2023,ПИК,PIKK,н/п,н/п,
2023,Газпром,GAZP,н/п,н/п,
2023,Детский Мир,DSKY,н/п,н/п,Обязательный выкуп с 5 октября по 14 декабря
2023,АФК Система,AFKS,н/п,н/п,
2023,Яндекс,YDEX,н/п,н/п,
2023,Мосбиржа,MOEX,н/п,н/п,
2023,Транснефть,TRNFP,н/п,н/п,Сплит 1 к 100
2023,Полюс,PLZL,н/п,н/п,
2023,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2023,Озон,OZON,н/п,н/п,
2023,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2023,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2023,USD/RUB,USD_RUB,н/п,н/п,
2023,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2023,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2024,ОФЗ-26242,SU26242RMFS6,-,+,
2024,Газпром капитал-БО-03,RU000A0ZYUY9,-,+,
2024,РЖД БО-001P-28R,RU000A106ZL5,-,+,
2024,Фабрика Фаворит-БО-01,RU000A106ZZ5,+,-,
2024,РКК БО-01,RU000A105VP7,+,-,
2024,Магнит,MGNT,н/п,н/п,
2024,Х5,X5,н/п,н/п,
2024,ВТБ,VTBR,н/п,н/п,
2024,Сбер,SBER,н/п,н/п,
2024,Норникель,GMKN,н/п,н/п,
2024,ЛСР,LSRG,н/п,н/п,
2024,Роснефть,ROSN,н/п,н/п,
2024,ПИК,PIKK,н/п,н/п,
2024,Газпром,GAZP,н/п,н/п,
2024,Детский Мир,DSKY,н/п,н/п,Делистинг 14 октября
2024,АФК Система,AFKS,н/п,н/п,
2024,Яндекс,YDEX,н/п,н/п,
2024,Мосбиржа,MOEX,н/п,н/п,
2024,Транснефть,TRNFP,н/п,н/п,
2024,Полюс,PLZL,н/п,н/п,Сплит 1 к 10
2024,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2024,Озон,OZON,н/п,н/п,
2024,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2024,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2024,USD/RUB,USD_RUB,н/п,н/п,
2024,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2024,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
